,APPL,,,,,,AMZN,,,,,,APT,,,,,,FB,,,,,,GOOG,,,,,,LAKE,,,,,,NFLX,,,,,,NNVC,,,,,,TSLA,,,,,,YOJ.SG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/4/24,277.200012,283.01001,277,282.970001,282.206085,31627200,2417,2420.429932,2382,2410.219971,2410.219971,3831800,14.75,15.69,13.75,13.96,13.96,5147700,183.229996,190.410004,180.830002,190.070007,190.070007,28868500,1261.170044,1280.400024,1249.449951,1279.310059,1279.310059,1640400,15.7,16.190001,15.01,15.22,15.22,830700,425,427.170013,415.880005,424.98999,424.98999,8670400,6.19,6.75,6.14,6.45,6.45,499600,710.809998,730.72998,698.179993,725.150024,725.150024,13237600,3.46,3.46,3.46,3.46,3.46,0,,2020/4/8,262.73999,267.369995,261.230011,266.070007,265.351715,42223800,2021,2044,2011.150024,2043,2043,3977300,14.16,14.2,12.91,13,13,4874900,171.25,175,167.740005,174.279999,174.279999,21664200,1206.5,1219.069946,1188.160034,1210.280029,1210.280029,1975100,15,15.75,14.95,14.95,14.95,492200,374.01001,378.390015,368.309998,371.119995,371.119995,6908900,5.35,5.8,5.34,5.51,5.51,289900,554.200012,557.210022,533.330017,548.840027,548.840027,12656000,2.96,2.96,2.96,2.96,2.96,0
2020/4/27,281.799988,284.540009,279.950012,283.170013,282.405548,29271900,2443.199951,2444.879883,2363,2376,2376,5645600,13.98,14.29,13.55,13.85,13.85,1742000,192.660004,193.75,187.410004,187.5,187.5,29197800,1296,1296.150024,1269,1275.880005,1275.880005,1600600,15.22,15.58,14.65,15.05,15.05,1078800,425,429,420.839996,421.380005,421.380005,6277500,6.16,6.45,6.05,6.2,6.2,454200,737.609985,799.48999,735,798.75,798.75,20681400,3.54,3.54,3.54,3.54,3.54,0,,2020/4/9,268.700012,270.070007,264.700012,267.98999,267.26651,40529100,2044.300049,2053,2017.660034,2042.76001,2042.76001,4655600,12.7,12.96,11.8,12.3,12.3,3138600,175.899994,177.080002,171.570007,175.190002,175.190002,23534300,1224.079956,1225.569946,1196.734985,1211.449951,1211.449951,2175400,15,15.41,14.16,14.39,14.39,801700,371.059998,372.100006,363.029999,370.720001,370.720001,7711300,5.42,5.62,5.07,5.46,5.46,300700,562.090027,575.179993,557.109985,573,573,13650000,3.02,3.02,3.02,3.02,3.02,0
2020/4/28,285.079987,285.829987,278.200012,278.579987,277.827911,28001200,2372.100098,2373.5,2306,2314.080078,2314.080078,5269400,13.87,13.99,13.33,13.46,13.46,1373100,188.660004,189.199997,182.559998,182.910004,182.910004,21731000,1287.930054,1288.050049,1232.199951,1233.670044,1233.670044,2951300,15.05,15.44,14.7,14.76,14.76,661500,419.98999,421,402.910004,403.829987,403.829987,10101200,6.22,6.4,6.05,6.2,6.2,358400,795.640015,805,756.690002,769.119995,769.119995,15222000,3.44,3.44,3.44,3.44,3.44,0,,2020/4/10,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2020/4/29,284.730011,289.670013,283.890015,287.730011,286.953247,34320200,2330.01001,2391.889893,2310,2372.709961,2372.709961,4591600,13.32,13.41,12.98,13.2,13.2,1421300,190.929993,196.910004,190,194.190002,194.190002,45954500,1341.459961,1359.98999,1325.339966,1341.47998,1341.47998,3793600,14.77,14.98,14.3,14.3,14.3,718800,399.529999,415.859985,393.600006,411.890015,411.890015,9693100,6.25,6.29,5.78,5.81,5.81,421900,790.169983,803.200012,783.159973,800.51001,800.51001,16216000,3.46,3.46,3.46,3.46,3.46,0,,2020/4/11,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2020/4/30,289.959991,294.529999,288.350006,293.799988,293.006836,45457600,2419.840088,2475,2396.01001,2474,2474,9415000,12.96,13.38,11.8,13.08,13.08,3687800,206.919998,209.690002,201.570007,204.710007,204.710007,46173300,1324.880005,1352.819946,1322.48999,1348.660034,1348.660034,2665400,14.27,14.35,13.58,13.62,13.62,841300,410.309998,424.440002,408,419.850006,419.850006,7939400,5.78,6.09,5.6,6,6,250200,855.190002,869.820007,763.5,781.880005,781.880005,28400100,3.56,3.56,3.56,3.56,3.56,0,,2020/4/12,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2020/5/1,286.25,299,285.850006,289.070007,288.289612,60154200,2336.800049,2362.439941,2258.189941,2286.040039,2286.040039,9772600,12.55,13,12.2,12.57,12.57,919900,201.600006,207.279999,199.050003,202.270004,202.270004,30415600,1328.5,1352.069946,1311,1320.609985,1320.609985,2072500,13.55,13.96,13.04,13.86,13.86,434700,415.100006,427.970001,411.730011,415.269989,415.269989,8299900,5.68,5.96,5.6,5.78,5.78,143700,755,772.77002,683.039978,701.320007,701.320007,32531800,3.52,3.52,3.52,3.52,3.52,0,,2020/4/13,268.309998,273.700012,265.829987,273.25,272.512329,32755700,2040,2180,2038,2168.870117,2168.870117,6716700,12.34,12.6,11.5,12.25,12.25,2110500,173.669998,175,169.449997,174.789993,174.789993,19355400,1209.180054,1220.51001,1187.598022,1217.560059,1217.560059,1739800,14.5,16.24,14.5,15.98,15.98,881400,371.309998,400.51001,367.700012,396.720001,396.720001,11692900,5.34,5.88,5.34,5.72,5.72,410500,590.159973,652,580.530029,650.950012,650.950012,22475400,3.02,3.02,3.02,3.02,3.02,0
2020/5/4,289.170013,293.690002,286.320007,293.160004,292.368561,33392000,2256.379883,2326.97998,2256.379883,2315.98999,2315.98999,4865900,12.72,13.74,12.31,13.59,13.59,2152200,200.199997,205.910004,198.759995,205.259995,205.259995,19250700,1308.22998,1327.660034,1299,1326.800049,1326.800049,1504000,13.79,14.24,13.3,13.82,13.82,622800,417.779999,428.540009,414.869995,428.149994,428.149994,7799100,6.2,6.7,6,6.63,6.63,1112300,701,762,698,761.190002,761.190002,19237100,3.62,3.62,3.62,3.62,3.62,0,,2020/4/14,280,288.25,278.049988,287.049988,286.275055,48748700,2200.469971,2292,2186.209961,2283.320068,2283.320068,8087200,11.65,13.58,11.6,12.95,12.95,3810800,178.979996,181.229996,176.619995,178.169998,178.169998,21011800,1245.089966,1282.069946,1236.930054,1269.22998,1269.22998,2470400,16,16.639999,15.27,16.5,16.5,993200,397.5,417.820007,394.850006,413.549988,413.549988,11581000,5.5,5.74,5.31,5.49,5.49,290400,698.969971,741.880005,692.429993,709.890015,709.890015,30576500,3.12,3.12,3.12,3.12,3.12,0
2020/5/5,295.059998,301,294.459991,297.559998,296.756683,36937800,2340,2351,2307.129883,2317.800049,2317.800049,3242500,13.2,13.8,12.87,12.88,12.88,1464700,207.020004,210.380005,206.5,207.070007,207.070007,21071200,1337.920044,1373.939941,1337.459961,1351.109985,1351.109985,1651500,13.9,14.19,13.35,13.35,13.35,449800,427.559998,431,421.559998,424.679993,424.679993,6286300,6.6,6.63,6.06,6.13,6.13,460200,789.789978,798.919983,762.179993,768.210022,768.210022,16991700,3.66,3.66,3.66,3.66,3.66,0,,2020/4/15,282.399994,286.329987,280.630005,284.429993,283.66214,32788600,2257.679932,2333.370117,2245,2307.679932,2307.679932,6866600,12.34,14.5,12.28,13.73,13.73,5150400,175.190002,178.190002,172.820007,176.970001,176.970001,17423000,1245.609985,1280.459961,1240.400024,1262.469971,1262.469971,1671700,16.549999,18,16.549999,17.200001,17.200001,2292500,413,434.980011,412.25,426.75,426.75,13561200,5.26,5.5,5.22,5.44,5.44,168300,742,753.130005,710,729.830017,729.830017,23577000,3.08,3.08,3.08,3.08,3.08,0
2020/5/6,300.459991,303.23999,298.869995,300.630005,299.81839,35583400,2329.439941,2357.449951,2320,2351.26001,2351.26001,3117800,14.4,14.68,12.5,13.42,13.42,5940200,208.119995,211.600006,206.660004,208.470001,208.470001,21857000,1361.689941,1371.119995,1347.290039,1347.300049,1347.300049,1215400,13.42,13.8,13.22,13.36,13.36,462000,429.299988,439.769989,426.390015,434.26001,434.26001,6660700,6.15,6.27,6,6.16,6.16,185500,776.5,789.799988,761.109985,782.580017,782.580017,11123200,3.78,3.88,3.78,3.88,3.88,900,,2020/4/16,287.380005,288.200012,282.350006,286.690002,285.916046,39281300,2346,2461,2335,2408.189941,2408.189941,12038200,13.28,14.64,13.05,14.45,14.45,3800100,177.949997,178.050003,172.509995,176.25,176.25,23593200,1274.099976,1279,1242.619995,1263.469971,1263.469971,2518100,15.63,16.82,15,16.610001,16.610001,2116900,437,449.519989,431.609985,439.170013,439.170013,16128700,5.4,5.75,5.34,5.74,5.74,341400,716.940002,759.450012,706.719971,745.210022,745.210022,20657900,3.08,3.08,3.08,3.08,3.08,0
2020/5/7,303.220001,305.170013,301.970001,303.73999,302.919983,28803800,2374.780029,2376,2343.110107,2367.610107,2367.610107,3396400,13.26,13.6,12.94,13.5,13.5,1788100,211.160004,211.600006,209.039993,211.259995,211.259995,15152000,1365.939941,1377.599976,1355.27002,1372.560059,1372.560059,1397600,13.36,13.65,13.28,13.31,13.31,241800,436.890015,438.880005,430.660004,436.529999,436.529999,5641900,6.29,6.29,6.11,6.14,6.14,119700,777.210022,796.400024,772.349976,780.039978,780.039978,11527700,3.72,3.72,3.72,3.72,3.72,0,,2020/4/17,284.690002,286.950012,276.859985,282.799988,282.03653,53812500,2372.330078,2400,2316.02002,2375,2375,7930000,13.41,13.93,13,13.28,13.28,2754200,179.199997,180.279999,176.660004,179.240005,179.240005,20974800,1284.849976,1294.430054,1271.22998,1283.25,1283.25,1949000,15.74,17,15.63,16.120001,16.120001,903100,431,432,414.700012,422.959991,422.959991,12616300,5.43,5.6,5.3,5.34,5.34,286500,772.280029,774.950012,747.659973,753.890015,753.890015,13128200,3.26,3.26,3.26,3.26,3.26,0
2020/5/8,305.640015,310.350006,304.290009,310.130005,310.130005,33512000,2372.139893,2387.23999,2357,2379.610107,2379.610107,3211200,13.26,13.58,12.9,13.05,13.05,1243800,212.240005,213.210007,210.850006,212.350006,212.350006,12524000,1383.130005,1398.76001,1375.47998,1388.369995,1388.369995,1388100,13.5,13.66,13.06,13.11,13.11,318900,434.140015,442,433.640015,435.549988,435.549988,5054300,6.09,6.36,6.03,6.3,6.3,169700,793.77002,824,787.01001,819.419983,819.419983,16130100,3.74,3.74,3.74,3.74,3.74,0,,2020/4/18,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2020/5/11,308.100006,317.049988,307.23999,315.01001,315.01001,36405900,2374.699951,2419.669922,2372.110107,2409,2409,3253700,13.05,13.27,12.6,12.88,12.88,1546900,210.889999,215,210.369995,213.179993,213.179993,12893100,1378.280029,1416.530029,1377.151978,1403.26001,1403.26001,1410600,13.11,13.5,12.44,13.41,13.41,674800,436.329987,444.890015,435.559998,440.519989,440.519989,5480300,6.24,7.35,6.24,7.11,7.11,747400,790.51001,824,785,811.289978,811.289978,16519600,3.72,3.72,3.72,3.72,3.72,0,,2020/4/19,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2020/5/12,317.829987,319.690002,310.910004,311.410004,311.410004,40575300,2411.850098,2419,2355,2356.949951,2356.949951,3074900,12.81,14.1,12.69,13.84,13.84,3857200,213.289993,215.279999,210,210.100006,210.100006,14704600,1407.119995,1415,1374.77002,1375.73999,1375.73999,1390600,13.4,14.02,13.34,13.76,13.76,671600,442,444.170013,431.359985,431.820007,431.820007,4598200,9.65,10.6,8.41,9.12,9.12,12429100,827,843.289978,808,809.409973,809.409973,15906900,3.78,3.78,3.78,3.78,3.78,0,,2020/4/20,277.950012,281.679993,276.850006,276.929993,276.182373,32503800,2389.949951,2444.97998,2386.050049,2393.610107,2393.610107,5770700,13.7,14.39,13.3,13.92,13.92,3386900,177.410004,180.5,176.770004,178.240005,178.240005,16110700,1271,1281.599976,1261.369995,1266.609985,1266.609985,1695500,16.15,16.690001,15.69,16.299999,16.299999,808800,435.170013,444.48999,430.559998,437.48999,437.48999,12655800,5.34,5.74,5.31,5.74,5.74,431800,732.700012,765.570007,712.210022,746.359985,746.359985,14746600,3.32,3.32,3.32,3.32,3.32,0
2020/5/13,312.149994,315.950012,303.209991,307.649994,307.649994,50155600,2366.800049,2407.699951,2337.800049,2367.919922,2367.919922,4782900,14.06,14.78,12.91,13.1,13.1,3637000,209.429993,210.779999,202.110001,205.100006,205.100006,20684600,1377.050049,1385.482056,1328.400024,1349.329956,1349.329956,1812600,13.75,13.96,12.67,12.87,12.87,494200,435.690002,447,427.269989,438.269989,438.269989,7014600,8.75,10.58,8.11,10.54,10.54,2424800,820.830017,826,763.299988,790.960022,790.960022,19065500,3.74,3.74,3.74,3.74,3.74,0,,2020/4/21,276.279999,277.25,265.429993,268.369995,267.645477,45247900,2416.610107,2428.310059,2279.659912,2328.120117,2328.120117,7476700,13.45,14.52,13.42,13.75,13.75,2078000,175.25,175.380005,168.339996,170.800003,170.800003,24850500,1247,1254.27002,1209.709961,1216.339966,1216.339966,2153000,16.190001,17.4,16.059999,16.469999,16.469999,1133600,444.769989,447,425.600006,433.829987,433.829987,23177600,5.39,8.03,5.39,7.67,7.67,5809600,730.119995,753.330017,673.789978,686.719971,686.719971,20209100,3.26,3.26,3.26,3.26,3.26,0
2020/5/14,304.51001,309.790009,301.529999,309.540009,309.540009,39732300,2361.01001,2391.370117,2353.209961,2388.850098,2388.850098,3648100,13.3,17,13.2,16.35,16.35,15819000,202.559998,206.929993,200.690002,206.809998,206.809998,17178900,1335.02002,1357.420044,1323.910034,1356.130005,1356.130005,1603100,12.96,14.29,12.52,13.8,13.8,1342000,444.899994,452.380005,432.820007,441.950012,441.950012,9007500,11.05,12.2,10.54,11.56,11.56,3040800,780,803.359985,764,803.330017,803.330017,13682200,3.72,3.72,3.72,3.72,3.72,0,,2020/4/22,273.609985,277.899994,272.200012,276.100006,275.354614,29264300,2369,2394,2351,2363.48999,2363.48999,4218300,13.63,14.4,12.72,13.14,13.14,1830400,178.449997,184.779999,178.139999,182.279999,182.279999,33369900,1245.540039,1285.613037,1242,1263.209961,1263.209961,2093100,16.5,16.709999,15.1,15.57,15.57,837800,429.730011,433,413,421.420013,421.420013,21123800,7.01,7.71,6.8,7.05,7.05,1662100,703.97998,734,688.710022,732.109985,732.109985,14224800,3.22,3.22,3.22,3.22,3.22,0
2020/5/15,300.350006,307.899994,300.209991,307.709991,307.709991,41587100,2368.52002,2411,2356.370117,2409.780029,2409.780029,4235000,15.55,16.16,14.5,14.97,14.97,5468900,205.270004,211.339996,204.119995,210.880005,210.880005,19383200,1350,1374.47998,1339,1373.189941,1373.189941,1707700,13.85,14.1,13.51,13.8,13.8,366500,440.700012,455,437.51001,454.190002,454.190002,7244000,10.64,11.28,9.51,9.63,9.63,1371100,790.349976,805.049988,786.549988,799.169983,799.169983,10518400,3.66,3.66,3.66,3.66,3.66,0,,2020/4/23,275.869995,281.75,274.869995,275.029999,274.287506,31203600,2399.97998,2424.219971,2382.080078,2399.449951,2399.449951,5066600,13.3,14.5,12.73,14.5,14.5,4736800,184.080002,187.050003,183.149994,185.130005,185.130005,21426600,1271.550049,1293.310059,1265.670044,1276.310059,1276.310059,1566200,15.3,16.07,14.75,15.76,15.76,1043100,419.26001,438.410004,419.26001,426.700012,426.700012,13952300,6.25,6.63,6.07,6.38,6.38,977900,727.599976,734,703.130005,705.630005,705.630005,13236700,3.32,3.32,3.32,3.32,3.32,0
2020/5/18,313.170013,316.5,310.320007,314.959991,314.959991,33843100,2404.350098,2433,2384.01001,2426.26001,2426.26001,4366600,15.02,15.07,12.7,14.18,14.18,5017800,212.149994,214.639999,210.940002,213.190002,213.190002,20167400,1361.75,1392.324951,1354.25,1383.939941,1383.939941,1824000,13.62,13.87,12.93,13.61,13.61,727200,451.160004,456.359985,443.350006,452.579987,452.579987,7780300,9.53,10.6,8.55,10.14,10.14,1471100,827.780029,834.719971,803.880005,813.630005,813.630005,11698100,3.7,3.7,3.7,3.7,3.7,0,,2020/4/24,277.200012,283.01001,277,282.970001,282.206085,31627200,2417,2420.429932,2382,2410.219971,2410.219971,3831800,14.75,15.69,13.75,13.96,13.96,5147700,183.229996,190.410004,180.830002,190.070007,190.070007,28868500,1261.170044,1280.400024,1249.449951,1279.310059,1279.310059,1640400,15.7,16.190001,15.01,15.22,15.22,830700,425,427.170013,415.880005,424.98999,424.98999,8670400,6.19,6.75,6.14,6.45,6.45,499600,710.809998,730.72998,698.179993,725.150024,725.150024,13237600,3.46,3.46,3.46,3.46,3.46,0
2020/5/19,315.029999,318.519989,313.01001,313.140015,313.140015,25432400,2429.830078,2485,2428.969971,2449.330078,2449.330078,4320500,13.61,14.31,13.44,13.83,13.83,1395400,213.270004,220.490005,212.830002,216.880005,216.880005,31843200,1386.996948,1392,1373.484985,1373.484985,1373.484985,1280600,13.58,14.07,13.43,13.7,13.7,304800,453.399994,458.970001,450.470001,451.040009,451.040009,4810500,9.73,10.06,9.4,9.65,9.65,719100,815.169983,822.070007,806.080017,808.01001,808.01001,9636500,3.72,3.72,3.72,3.72,3.72,0,,2020/4/25,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2020/5/20,316.679993,319.519989,316.519989,319.230011,319.230011,27876200,2477.870117,2500.01001,2467.27002,2497.939941,2497.939941,3998100,13.55,14.14,13.5,13.86,13.86,997200,223.5,231.339996,223.190002,229.970001,229.970001,50162900,1389.579956,1410.420044,1387.25,1406.719971,1406.719971,1655400,13.53,13.98,13.52,13.72,13.72,219500,454.25,455.809998,444,447.670013,447.670013,5607300,8.69,9.58,8.66,9.09,9.09,1283200,820.5,826,811.799988,815.559998,815.559998,7309300,3.74,3.74,3.74,3.74,3.74,0,,2020/4/26,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2020/5/21,318.660004,320.890015,315.869995,316.850006,316.850006,25672200,2500,2525.449951,2442.540039,2446.73999,2446.73999,5114400,13.6,13.85,13.05,13.57,13.57,1246400,234.720001,237.199997,231.199997,231.389999,231.389999,47782600,1408,1415.48999,1393.449951,1402.800049,1402.800049,1385000,13.64,13.86,13.4,13.85,13.85,230900,448.559998,448.959991,430.25,436.25,436.25,9117300,8,8.3,7.53,7.66,7.66,1788700,816,832.5,796,827.599976,827.599976,12254600,3.68,3.68,3.68,3.68,3.68,0,,2020/4/27,281.799988,284.540009,279.950012,283.170013,282.405548,29271900,2443.199951,2444.879883,2363,2376,2376,5645600,13.98,14.29,13.55,13.85,13.85,1742000,192.660004,193.75,187.410004,187.5,187.5,29197800,1296,1296.150024,1269,1275.880005,1275.880005,1600600,15.22,15.58,14.65,15.05,15.05,1078800,425,429,420.839996,421.380005,421.380005,6277500,6.16,6.45,6.05,6.2,6.2,454200,737.609985,799.48999,735,798.75,798.75,20681400,3.54,3.54,3.54,3.54,3.54,0
